team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
OTT,2023,OTT,OTT,Team Level,other,82,0.6,0.57,0.58,10393,178.5,37.21,13.01,36.38,6.61,88.87,56.92,33.53,37.21,33.53,175,64,76,315,33,34,5,25,2,83,62,142,206,7,14,155,31,20,25,136,36,67,5.24,4.35,27.62,7,6,20,315,239,239,9,4,9.72,9.65,31.56,31.56,30.21,127.43,25.14,8.76,24.16,4.4,68.5,44.03,23.3,25.14,23.3,122,53,67,242,26,13,2,26,1,55,54,96,149,11,20,125,34,19,18,99,42,34,3.58,4.93,16.63,7,6,13,242,175,175,7,2.58,5.22,5.22,22.5,22.5,21.79
OTT,2023,OTT,OTT,Team Level,all,82,0.51,0.51,0.52,298497,2744.85,251.67,180.59,674.82,93.54,1472.6,1086.85,239.76,251.57,239.71,2602,1159,1427,5188,250,298,29,518,13,1361,1321,2352,3511,322,711,2376,1994,597,797,2855,615,291,76.17,77.04,98.46,89,98,63,5159.11,3761,3744.29,467,40.67,59.43,60.4,231.86,231.8,226.36,2508.59,246.55,165.98,615.15,84.64,1326.52,992.21,232.57,247.9,233.92,2432,1000,1460,4892,281,288,35,487,11,1163,1202,2151,3151,350,782,2284,2062,585,711,2546,583,303,71.82,72.59,102.15,110,94,77,4945.68,3432,3460.55,413,36.97,59.66,59.78,223.73,225.15,218.08
OTT,2023,OTT,OTT,Team Level,5on5,82,0.49,0.5,0.51,238667,2074.74,161.24,125.79,535.1,70.05,1099.8,847.09,155.64,161.15,155.58,1951,889,1143,3983,163,214,19,406,8,1017,1032,1788,2677,285,639,1740,1867,507,650,2222,455,163,58.09,57.41,45.74,72,73,18,3954.11,2840,2823.29,422,26.12,40.45,40.97,146.32,146.27,143.81,1984.17,166.67,125.24,509.67,67.28,1043.17,802.03,158.99,168.03,160.32,1913,802,1201,3916,193,229,26,389,9,921,974,1720,2522,310,701,1773,1899,478,590,2082,448,185,58.82,56.59,51.28,91,75,27,3969.68,2715,2743.55,356,26.06,44.81,44.94,147.8,149.22,146.25
OTT,2023,OTT,OTT,Team Level,4on5,82,0.11,0.14,0.17,21779,68.7,5.75,3.38,10.99,2.28,22.32,48.27,5.61,5.75,5.61,77,16,7,100,6,5,1,6,0,14,62,71,87,11,22,214,58,54,34,69,19,5,1.87,2.5,1.39,0,5,1,100,93,93,32,0.77,1.2,1.2,5.32,5.32,5.26,333.29,48.95,28.91,71.71,11.02,194.41,101.98,44.66,48.95,44.66,327,130,181,638,57,41,6,67,1,173,118,270,400,18,39,192,34,13,56,301,83,73,8.13,9.93,30.9,12,11,34,638,457,457,3,7.6,8.68,8.68,47.88,47.88,44.52
OTT,2023,OTT,OTT,Team Level,5on4,82,0.89,0.89,0.87,27658,422.91,47.47,38.41,92.36,14.6,261.61,134.57,45,47.47,45,399,190,201,790,48,45,4,81,3,247,165,351,541,19,36,267,38,16,88,428,105,56,10.98,12.77,23.72,10,14,24,790,589,589,4,9.77,8.06,8.59,48.65,48.65,47.09,63.7,5.78,3.07,9.62,1.93,20.45,44.16,5.63,5.78,5.63,70,15,11,96,5,5,1,5,0,14,56,65,80,11,22,194,95,75,47,64,10,11,1.3,1.13,3.35,0,2,3,96,85,85,47,0.72,0.95,0.95,5.54,5.54,5.52
CHI,2023,CHI,CHI,Team Level,other,82,0.38,0.46,0.45,9862,105.16,20.82,8.14,20.03,3.66,60.17,32.18,19.71,20.82,19.71,110,35,58,203,25,10,2,16,0,63,31,85,120,2,4,105,28,22,22,82,36,27,3.07,4.39,13.37,6,7,12,203,145,145,8,2.41,3.1,3.1,20.14,20.14,19.3,128.7,34.55,8.72,22.27,4.11,65.76,40.6,32.14,34.55,32.14,121,55,60,236,27,12,1,25,0,62,50,94,149,4,8,112,21,21,20,79,49,48,3.29,6.38,24.88,3,6,18,236,176,176,9,2.53,4.51,4.51,32.57,32.57,30.95
CHI,2023,CHI,CHI,Team Level,all,82,0.43,0.45,0.44,296998,2214.66,206.24,148.88,543.56,74.36,1198.17,874.78,196.95,204.17,194.95,2153,893,1210,4256,178,237,29,468,7,1014,1142,1975,2868,279,641,2029,1871,714,747,2319,495,232,63.48,61.72,81.04,60,57,61,4156.75,3046,2992.27,424,33.19,51.15,51.2,188.24,186.26,182.12,2752.86,274.4,188.63,655.49,92.72,1505.07,1093.69,262.29,278.54,266.24,2683,1127,1455,5265,289,273,35,482,15,1328,1423,2394,3521,281,644,2357,1542,546,618,2796,717,297,83.07,88.86,102.48,108,108,73,5412.09,3810,3893.33,303,41.47,59.38,59.38,256.5,260.32,253.23
CHI,2023,CHI,CHI,Team Level,5on5,82,0.43,0.44,0.43,242696,1740.4,141.71,108.85,445.21,58.17,933.75,705.29,136.3,139.65,134.29,1691,702,994,3387,118,176,22,393,7,771,928,1573,2275,252,581,1575,1772,596,632,1875,373,145,51.39,47.43,42.89,47,45,26,3287.75,2393,2339.27,377,22.59,38.55,38.59,125.71,123.74,121.91,2256.12,191.19,147.62,560.59,76.27,1235.45,918.87,183.97,195.32,187.92,2188,942,1230,4360,202,222,24,402,14,1103,1187,1986,2928,247,570,1830,1459,470,521,2395,547,188,70.84,67.76,52.59,98,79,25,4507.09,3130,3213.33,256,30.65,44.77,44.77,177.07,180.89,177.24
CHI,2023,CHI,CHI,Team Level,4on5,82,0.11,0.13,0.16,22007,60.24,5.59,3.04,9.19,1.82,19.19,41.17,5.54,5.59,5.54,63,17,9,89,2,2,0,5,0,15,56,61,78,11,28,164,47,63,38,52,19,9,1.26,2.26,2.07,1,0,1,89,80,80,32,0.7,0.27,0.27,6.02,6.02,5.97,315.24,43.66,29.37,64.8,10.58,186.04,97.54,41.3,43.66,41.3,320,112,149,581,53,39,10,51,1,153,135,267,379,22,50,234,11,17,47,269,108,55,7.45,13.03,23.18,4,21,28,581,432,432,9,7.62,10.09,10.09,41.19,41.19,39.51
CHI,2023,CHI,CHI,Team Level,5on4,82,0.88,0.87,0.86,22433,308.87,38.11,28.86,69.12,10.71,185.05,96.16,35.42,38.11,35.42,289,139,149,577,33,49,5,54,0,165,127,256,395,14,28,185,24,33,55,310,67,51,7.76,7.64,22.71,6,5,22,577,428,428,7,7.49,9.24,9.24,36.36,36.36,34.94,52.8,5,2.93,7.83,1.76,17.82,36.67,4.88,5,4.88,54,18,16,88,7,0,0,4,0,10,51,47,65,8,16,181,51,38,30,53,13,6,1.49,1.68,1.83,3,2,2,88,72,72,29,0.67,0,0,5.67,5.67,5.54
