team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2009,NYI,NYI,Team Level,other,82,0.5,0.44,0.46,17835,147.46,21.73,10.04,28.67,4.8,78.25,61.5,19.99,21.73,19.99,138,67,57,262,20,8,1,29,3,68,77,118,185,9,18,150,36,42,42,126,56,23,4.29,6.93,10.5,6,6,8,262,205,205,21,2.87,2.37,1.99,22.62,22.62,21.02,174.51,21.83,12.43,34.54,5.76,97.3,73.14,20.91,21.83,20.91,173,72,82,327,16,7,2,40,6,94,82,157,229,9,18,151,59,43,41,158,62,25,5.68,7.52,8.63,2,7,7,327,245,245,17,3.5,1.8,1.8,23.53,23.53,22.79
NYI,2009,NYI,NYI,Team Level,all,82,0.5,0.48,0.49,300913,2466.97,238.16,172.96,545.72,81.21,1348.68,1056.27,228.49,238.01,228.35,2494,949,1182,4625,214,201,38,577,74,1047,1330,2280,3229,369,858,2261,1829,948,809,2521,684,238,74.34,82.03,81.79,79,65,70,4610.42,3443,3439.86,407,38.45,45.78,47.23,229.38,229.45,223.4,2578.49,242.24,181.31,573.57,84.06,1446.29,1110.53,231.91,243.26,232.9,2619,1019,1379,5017,258,166,41,660,99,1161,1294,2361,3380,381,919,2426,1872,833,826,2678,736,224,78.52,87.2,76.53,92,84,82,5040.57,3638,3650.78,398,40.28,38.07,40.25,242.28,243.11,235.81
NYI,2009,NYI,NYI,Team Level,5on5,82,0.49,0.48,0.48,227463,1826.86,153.38,120.72,422.05,59.76,993.21,797.88,148.82,153.21,148.68,1854,693,888,3435,145,147,28,442,55,760,998,1709,2402,327,769,1640,1679,762,621,1922,497,128,58.29,59.4,35.69,59,52,34,3420.42,2547,2543.86,334,24.85,30.69,30.93,147.3,147.37,145.13,1924.18,156.73,127.99,447.48,62.45,1066.71,848.64,152.08,157.75,153.07,1959,751,1081,3791,172,118,26,517,70,835,998,1787,2538,325,796,1755,1636,641,638,2064,521,125,60.93,61.65,34.16,74,56,42,3814.57,2710,2722.78,330,26.37,23.67,25.16,157.94,158.77,156.37
NYI,2009,NYI,NYI,Team Level,4on5,82,0.11,0.12,0.13,25976,64.43,7.35,3.46,8.03,1.9,18.5,52.76,7.12,7.35,7.12,71,21,16,108,7,5,1,7,0,18,55,64,85,21,47,207,75,106,52,60,19,13,1.58,2.08,3.69,3,1,3,108,92,92,40,0.81,1.12,1.05,7.11,7.11,7.09,423.84,58.46,38.25,84.45,14.21,265.68,141.96,53.8,58.46,53.8,427,176,204,807,67,38,13,95,21,222,160,360,536,27,60,277,47,38,98,398,135,70,10.32,15.71,32.44,15,21,31,807,603,603,9,9.82,12.21,12.9,55.38,55.38,51.26
NYI,2009,NYI,NYI,Team Level,5on4,82,0.91,0.9,0.88,29639,428.23,55.7,38.74,86.98,14.75,258.72,144.12,52.56,55.7,52.56,431,168,221,820,42,41,8,99,16,201,200,389,557,12,24,264,39,38,94,413,112,74,10.18,13.61,31.91,11,6,25,820,599,599,12,9.91,11.61,13.26,52.35,52.35,50.17,55.97,5.22,2.65,7.1,1.64,16.61,46.79,5.12,5.22,5.12,60,20,12,92,3,3,0,8,2,10,54,57,77,20,45,243,130,111,49,58,18,4,1.59,2.33,1.3,1,0,2,92,80,80,42,0.59,0.39,0.39,5.42,5.42,5.4
PIT,2009,PIT,PIT,Team Level,other,81,0.51,0.55,0.55,12239,194.48,27.08,13.64,38.33,6.1,104.49,79.36,24.09,27.08,24.09,177,92,70,339,23,15,4,36,6,93,96,154,246,15,38,172,77,25,40,172,69,28,5.76,8.39,12.93,5,6,12,339,269,269,13,3.84,4.52,4.6,26.32,26.32,24.38,158.81,25.67,11.18,30.74,5.18,80.5,62.73,24.33,25.67,24.33,158,58,67,283,27,12,3,22,11,63,81,131,189,18,38,168,49,27,25,130,58,28,4.23,7.45,13.99,6,5,16,283,216,216,10,3.1,3.5,3.5,25.28,25.28,24.7
PIT,2009,PIT,PIT,Team Level,all,81,0.52,0.52,0.53,295976,2664.25,239.57,184.61,593.09,84.05,1477.41,1113.27,229.14,240.83,230.33,2651,1041,1172,4864,247,186,47,563,102,1264,1330,2404,3445,442,1065,2324,2122,385,620,2799,668,225,82.18,78.88,78.51,85,81,81,4878.07,3692,3697.67,279,41.14,42.52,43.54,237.17,238.11,231.52,2385.12,217.44,164.72,532.52,76.78,1310.63,992.9,210.33,217.21,210.12,2321,974,1168,4463,233,182,52,463,102,1039,1276,2088,3062,430,1040,2387,1842,434,528,2481,617,197,71.51,74.92,71.01,80,70,83,4457.63,3295,3297.51,295,36.55,39.86,40.94,213.05,212.85,208.92
PIT,2009,PIT,PIT,Team Level,5on5,81,0.53,0.52,0.53,223229,1948.76,155.96,127.55,454.2,61.27,1072.24,820.77,151.73,157.22,152.93,1942,750,872,3564,167,135,36,436,80,894,980,1775,2525,378,912,1590,1853,284,450,2087,474,131,62.73,55.79,37.44,69,54,44,3578.07,2692,2697.67,221,26.27,29.84,30.77,151.45,152.39,150.4,1758.12,136.47,114.86,411.18,56.6,964.94,743.93,133.04,136.24,132.83,1705,723,858,3286,156,126,38,353,69,768,956,1549,2272,367,904,1703,1650,330,400,1891,432,105,55.97,52.24,28.27,65,54,37,3280.63,2428,2430.51,245,23.61,26.28,27.48,132.61,132.4,130.8
PIT,2009,PIT,PIT,Team Level,4on5,81,0.12,0.15,0.17,30754,83.24,6.85,3.96,11.07,2.35,25.73,66.04,6.68,6.85,6.68,88,28,21,137,7,5,0,10,3,15,76,81,109,22,58,245,134,54,41,88,21,7,2.5,2.65,1.7,2,4,1,137,116,116,37,0.92,0.91,0.91,6.87,6.87,6.81,401.03,48.98,35.35,82.74,13.17,245.24,133.53,46.87,48.98,46.87,396,163,223,782,45,41,11,80,19,194,180,351,514,30,63,297,62,24,64,394,108,57,9.44,12.78,26.76,7,10,28,782,559,559,5,9.07,9.46,9.4,48.66,48.66,46.96
PIT,2009,PIT,PIT,Team Level,5on4,81,0.89,0.88,0.87,29754,437.76,49.68,39.46,89.49,14.33,274.95,147.1,46.63,49.68,46.63,444,171,209,824,50,31,7,81,13,262,178,394,565,27,57,317,58,22,89,452,104,59,11.19,12.05,26.44,9,17,24,824,615,615,8,10.12,7.27,7.26,52.53,52.53,49.92,67.17,6.31,3.32,7.87,1.83,19.95,52.72,6.1,6.31,6.1,62,30,20,112,5,3,0,8,3,14,59,57,87,15,35,219,81,53,39,66,19,7,1.88,2.45,1.99,2,1,2,112,92,92,35,0.77,0.63,0.57,6.51,6.51,6.47
ANA,2009,ANA,ANA,Team Level,other,82,0.42,0.5,0.48,14228,168.5,28.05,11.71,32.61,5.69,91.27,68.39,26.45,28.05,26.45,174,74,63,311,28,14,6,30,8,92,76,146,220,30,74,173,58,30,33,156,60,32,5.63,7.29,15.14,7,4,17,311,248,248,17,3.34,3.5,3.5,27.24,27.24,25.91,183.58,38.13,13.27,34.12,6.6,96.86,63.94,32.4,38.13,32.4,194,72,48,314,33,30,6,35,3,85,80,161,233,24,51,146,36,25,35,144,65,57,5.83,8.28,24.02,5,7,21,314,266,266,16,4.02,9.57,8.82,32.49,32.49,29.48
ANA,2009,ANA,ANA,Team Level,all,82,0.46,0.48,0.47,299752,2342.95,218.89,161.52,513.9,75.09,1313.28,1009.26,211.93,219.2,212.23,2471,949,941,4361,233,162,43,530,68,1081,1346,2238,3187,469,1187,2187,2050,447,633,2624,625,171,83.32,75.26,60.31,82,80,71,4374.69,3420,3423.45,276,36.01,31.55,31.89,214.6,215.12,210.31,2622.3,259.16,182.73,577.49,86.5,1488.61,1088.63,243.45,259.47,243.73,2737,1091,943,4771,243,203,39,551,73,1266,1492,2494,3585,430,1123,2363,1763,548,661,2887,717,224,92.36,85.79,81,89,76,78,4761.74,3828,3822.06,326,40.81,45.5,47.18,243.46,243.09,235.24
ANA,2009,ANA,ANA,Team Level,5on5,82,0.46,0.47,0.47,229562,1712.99,138.4,110.21,391.53,54.41,952.21,755.4,135.23,138.7,135.53,1795,681,694,3170,147,105,26,407,45,765,1007,1648,2329,405,1036,1537,1825,356,495,1964,425,87,63.05,51.73,23.61,64,54,29,3183.69,2476,2479.45,227,22.63,20.74,21.29,134.84,135.35,133.61,1942.29,159.37,127.85,447.7,63.67,1099.04,830.3,154.43,159.68,154.71,2013,814,710,3537,145,128,20,418,54,934,1148,1868,2682,362,973,1656,1593,432,515,2214,511,102,71.31,61.3,26.75,68,55,22,3527.74,2827,2821.06,261,26.18,23.31,24.74,154.55,154.18,151.59
ANA,2009,ANA,ANA,Team Level,4on5,82,0.09,0.12,0.12,28305,58.63,5.45,2.55,7.66,1.64,16.63,49.47,5.39,5.45,5.39,66,23,23,112,7,2,2,8,1,18,53,59,82,15,36,229,116,41,36,70,14,5,2.28,1.81,1.36,2,3,2,112,89,89,26,0.59,0.31,0.31,5.4,5.4,5.4,433.29,55.32,38.64,87.58,14.43,273.85,144.14,50.35,55.32,50.35,454,188,170,812,57,43,12,92,15,231,204,397,585,26,58,314,53,20,72,458,126,58,12.91,14.41,28,13,12,32,812,642,642,13,9.94,12.04,13.05,50.33,50.33,48.08
ANA,2009,ANA,ANA,Team Level,5on4,82,0.88,0.88,0.87,27657,402.82,46.99,37.05,82.11,13.35,253.18,136,44.86,46.99,44.86,436,171,161,768,51,41,9,85,14,206,210,385,556,19,41,248,51,20,69,434,126,47,12.36,14.43,20.2,9,19,23,768,607,607,6,9.46,7.01,6.79,47.11,47.11,45.39,63.14,6.34,2.96,8.1,1.81,18.86,50.25,6.27,6.34,6.27,76,17,15,108,8,2,1,6,1,16,60,68,85,18,41,247,81,71,39,71,15,7,2.29,1.81,2.23,3,2,3,108,93,93,36,0.67,0.59,0.59,6.1,6.1,6.08
CGY,2009,CGY,CGY,Team Level,other,82,0.48,0.46,0.45,11000,124.22,23.74,8.52,23.35,4.06,66.12,47.28,23.24,23.74,23.24,128,46,69,243,22,5,1,22,7,57,61,106,152,14,28,119,43,20,23,104,35,35,3.45,4.49,15.8,4,5,13,243,174,174,10,2.42,1.02,1.12,24.98,24.98,24.47,149.32,25.32,10.31,28.57,4.99,84.46,58.4,23.79,25.32,23.79,137,76,67,280,22,7,1,28,2,74,80,115,191,10,20,145,31,27,35,137,41,35,5.1,5.11,15.11,4,7,11,280,213,213,17,3.05,1.6,1.6,26.7,26.7,25.28
CGY,2009,CGY,CGY,Team Level,all,82,0.5,0.51,0.5,298794,2379.63,201.14,156.39,544.08,75.75,1331.73,1013.27,194.96,202.33,196.15,2351,1005,1216,4572,201,133,31,529,66,1023,1404,2150,3155,418,1079,2237,1708,580,724,2666,507,183,73.96,62.47,64.7,80,57,64,4596.88,3356,3375.81,387,34.31,30.75,32.21,200.95,201.88,197.52,2344.66,203.81,158.95,533.19,76.85,1330.33,994.68,195.86,203.29,195.33,2372,966,1062,4400,203,160,43,506,77,1088,1304,2169,3135,378,1007,2424,1609,544,732,2605,555,178,74.06,66.4,63.37,69,67,67,4369.88,3338,3319.17,425,35.35,33.53,36.27,200.22,199.72,194.82
CGY,2009,CGY,CGY,Team Level,5on5,82,0.5,0.52,0.51,232902,1833.25,132.4,114.07,435.85,58.33,1024.27,792.03,129.65,133.59,130.84,1798,787,933,3518,133,97,21,424,45,784,1102,1665,2452,360,952,1691,1516,445,581,2108,381,96,59.62,46.65,26.13,66,38,29,3542.88,2585,2604.81,329,23.34,19.46,20.54,133.31,134.23,132.76,1747.79,129.96,112.08,413.44,57.06,977.63,758.8,125.82,129.44,125.28,1768,709,793,3270,135,116,33,395,64,788,979,1633,2342,339,922,1739,1457,435,548,1982,404,91,56.58,48.52,24.86,55,52,28,3239.88,2477,2458.17,334,22.99,21.92,24.86,126.21,125.71,123.91
